cell_line,treatment,p_value
MOLM-13,LS,0.03836060080982662
MOLM-13,RU,0.027271173620189257
MOLM-13,VA,0.1723101121863365
MOLM-13,VC,0.6609419905886118
MOLM-13,VR,0.4905839021910745
NOMO-1,LS,0.06505591636847426
NOMO-1,RU,0.04800037305859328
NOMO-1,VA,0.4699553631636836
NOMO-1,VC,0.057780965951802016
NOMO-1,VR,0.0750645669081163
